Partitions, Phi 1, Phi 2, Phi 3
Eta 8, 5.95, 4.7, 6.85,
Eta 7, 5.4, 3.7, 4.5,
Eta 6, 4.5, 5.0, 5.35,
Eta 5, 6.35, 5.6, 5.5,
Eta 4, 5.6, 5.3, 5.9,
Eta 3, 5.5, 5.25, 6.5,
Eta 2, 5.3, 5.3, 5.5,
Eta 1, 5.7, 6.5, 6.35,
