Partitions, Phi 1, Phi 2, Phi 3
Eta 8, 4.0, 4.0, 5.2,
Eta 7, 5.3, 5.0, 4.8,
Eta 6, 4.1, 4.3, 4.3,
Eta 5, 6.25, 6.6, 5.3,
Eta 4, 5.5, 5.5, 6.5,
Eta 3, 6.2, 5.5, 4.8,
Eta 2, 4.7, 4.6, 5.4,
Eta 1, 6.1, 5.0, 5.0,
