Partitions, Phi 1, Phi 2, Phi 3
Eta 8, 4.3, 4.35,  4.5,
Eta 7, 4.4, 3.3,   3.4,
Eta 6, 4.7, 3.6,   4,
Eta 5, 5.6, 4,     5,
Eta 4, 4.9, 4.3,   4.1,
Eta 3, 5.1, 5.3,   4.4,
Eta 2, 4.9, 4.2,   4.5,
Eta 1, 5,   5.3,   5.3,
