Partitions, Phi 1, Phi 2, Phi 3
Eta 8, 5.05, 3.95, 5.5,
Eta 7, 5.4, 4.0, 5.6,
Eta 6, 4.9, 4.95, 5.05,
Eta 5, 5.9, 6.1, 6.0,
Eta 4, 4.8, 4.6, 4.95,
Eta 3, 5.45, 4.5, 4.4,
Eta 2, 4.7, 5.5, 6.2,
Eta 1, 5.6, 6.2, 5.9,
